,Sampling Type,Sample Size,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error,graph_id,num_conv_layers
94,Classification-optimal,34,74.0,1907.6527,2047.9955,80.16879,20,1
95,Classification-optimal,35,75.0,1789.6616,1919.9954,76.57713,20,1
96,Classification-optimal,36,78.0,1653.248,1791.9952,72.94694,20,1
97,Classification-optimal,37,79.0,1546.3325,1663.9949,69.22685,20,1
98,Classification-optimal,38,68.0,1436.6498,1535.9955,65.545784,20,1
99,Classification-optimal,39,66.0,1321.061,1407.9951,61.74825,20,1
100,Classification-optimal,40,67.0,1190.357,1279.9934,57.806366,20,1
101,Classification-optimal,41,58.0,1073.4376,1151.9939,53.81145,20,1
102,Classification-optimal,42,53.0,954.95483,1023.99347,49.60453,20,1
103,Classification-optimal,43,44.0,846.01935,895.9917,45.285797,20,1
104,Classification-optimal,44,42.0,739.68176,767.9914,40.800186,20,1
105,Classification-optimal,45,40.0,624.9517,639.9902,35.98688,20,1
106,Classification-optimal,46,30.0,499.8919,511.98993,30.937023,20,1
107,Classification-optimal,47,30.0,367.6068,383.98746,25.359844,20,1
108,Classification-optimal,48,28.0,245.16888,255.98808,19.124681,20,1
109,Classification-optimal,49,4.0,113.15129,128.2797,11.635258,20,1
110,Classification-optimal,50,0.0,1.9297247e-05,3.604545,0.0015252529,20,1
111,Classification-optimal,51,0.0,6.840521e-07,-0.013852835,0.0015464369,20,1
112,Classification-optimal,52,0.0,5.4258453e-07,0.00790453,0.0011900646,20,1
113,Classification-optimal,53,0.0,1.4221686e-07,0.0013952255,0.0015429332,20,1
114,Classification-optimal,54,0.0,7.354944e-08,0.0032553673,0.0011766913,20,1
115,Classification-optimal,55,0.0,6.8144026e-08,0.002620697,0.00030025755,20,1
116,Classification-optimal,56,0.0,9.3226134e-08,0.0031158924,0.004823835,20,1
117,Classification-optimal,57,0.0,8.023616e-08,0.0027368069,0.0024805348,20,1
118,Classification-optimal,58,0.0,3.577794e-08,0.00053715706,0.0010417281,20,1
119,Classification-optimal,59,0.0,4.177432e-08,6.03199e-05,0.00043960757,20,1
120,Classification-optimal,60,0.0,4.8626124e-08,0.0010633469,0.00067548605,20,1
121,Classification-optimal,61,0.0,2.3526704e-08,0.0008068085,0.0036871838,20,1
122,Reconstruction-optimal,1,229.0,6273.402,6271.9995,241.22209,20,1
123,Reconstruction-optimal,2,224.0,6147.7075,6144.0,232.77255,20,1
124,Reconstruction-optimal,3,212.0,6032.081,6016.0,225.87141,20,1
125,Reconstruction-optimal,4,220.0,5940.2246,5888.0,218.18922,20,1
