,Sampling Type,Sample Size,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error,graph_id,num_conv_layers
29,Random,30,92.0,2645.5042,2560.0,97.873535,8,1
30,Random,31,101.0,2515.4282,2432.0,92.286606,8,1
31,Random,32,103.0,2398.2048,2303.9998,90.2306,8,1
32,Random,33,104.0,2280.7783,2176.0,88.11468,8,1
33,Random,34,103.0,2142.81,2047.9998,85.41472,8,1
34,Random,35,107.0,2015.0066,1920.0,81.9992,8,1
35,Random,36,100.0,1895.7766,1792.0,77.174286,8,1
36,Random,37,90.0,1747.4,1664.0,72.811,8,1
37,Random,38,90.0,1634.8923,1536.0,70.21036,8,1
38,Random,39,76.0,1466.8568,1408.0001,67.887184,8,1
39,Random,40,88.0,1312.2351,1280.0001,62.642216,8,1
40,Random,41,67.0,1173.4462,1152.0001,57.7666,8,1
41,Random,42,79.0,1060.5974,1024.0002,54.27829,8,1
42,Random,43,69.0,950.2965,896.00024,50.140945,8,1
43,Random,44,84.0,798.28436,768.0005,46.731003,8,1
44,Random,45,83.0,642.9879,640.0024,43.56425,8,1
45,Random,46,6.0,501.93298,512.00287,36.68303,8,1
46,Random,47,6.0,378.8422,384.00287,30.133455,8,1
47,Random,48,0.0,252.37715,256.04886,24.80832,8,1
48,Random,49,0.0,126.76589,128.0899,15.644365,8,1
49,Random,50,0.0,3.2255805e-06,0.3936596,0.02586752,8,1
50,Random,51,0.0,1.8265489e-07,0.0042848587,0.050537035,8,1
51,Random,52,0.0,7.100847e-08,0.005560875,0.0133007355,8,1
52,Random,53,0.0,3.214873e-08,0.0028877258,0.044150464,8,1
53,Random,54,0.0,6.9614124e-08,0.002316475,0.036460586,8,1
54,Random,55,0.0,1.4975588e-07,0.001988411,0.025034653,8,1
55,Random,56,0.0,6.523266e-08,0.0010871887,0.012680066,8,1
56,Random,57,0.0,1.4919088e-08,0.0009174347,0.04341579,8,1
57,Random,58,0.0,1.3912106e-08,0.00085544586,0.02351481,8,1
58,Random,59,0.0,4.5913445e-08,0.0007610321,0.06889111,8,1
59,Random,60,0.0,1.2543821e-08,0.00037765503,0.015310183,8,1
60,Random,61,0.0,5.1648172e-08,0.0005168915,0.022715762,8,1
61,Classification-optimal,1,260.0,6484.651,6272.0,230.2265,8,1
62,Classification-optimal,2,237.0,6371.825,6143.9995,217.69011,8,1
63,Classification-optimal,3,243.0,6210.615,6016.0,207.0408,8,1
64,Classification-optimal,4,187.0,6055.6055,5888.0,197.28397,8,1
65,Classification-optimal,5,186.0,5905.381,5760.0,187.51207,8,1
66,Classification-optimal,6,186.0,5787.323,5631.9995,178.45744,8,1
67,Classification-optimal,7,184.0,5650.958,5504.0,170.09601,8,1
68,Classification-optimal,8,163.0,5522.0156,5376.0005,161.89034,8,1
69,Classification-optimal,9,165.0,5390.4604,5248.0,154.18423,8,1
70,Classification-optimal,10,156.0,5276.1533,5120.0,146.87283,8,1
71,Classification-optimal,11,143.0,5133.2617,4992.0,141.73563,8,1
72,Classification-optimal,12,160.0,4990.402,4864.0,136.6349,8,1
73,Classification-optimal,13,144.0,4886.2646,4736.0,131.62914,8,1
74,Classification-optimal,14,136.0,4759.228,4608.0,127.28462,8,1
75,Classification-optimal,15,142.0,4575.947,4480.0,123.22491,8,1
76,Classification-optimal,16,150.0,4470.4624,4352.0,118.987946,8,1
77,Classification-optimal,17,157.0,4353.853,4224.0,115.053986,8,1
78,Classification-optimal,18,115.0,4235.8433,4096.0,111.222725,8,1
79,Classification-optimal,19,116.0,4106.7466,3968.0,107.55385,8,1
80,Classification-optimal,20,104.0,3977.666,3840.0,103.909294,8,1
81,Classification-optimal,21,112.0,3832.912,3712.0005,100.37901,8,1
82,Classification-optimal,22,103.0,3702.2485,3584.0002,97.06755,8,1
83,Classification-optimal,23,119.0,3567.4368,3456.0002,93.79831,8,1
84,Classification-optimal,24,117.0,3447.7769,3328.0002,90.637115,8,1
85,Classification-optimal,25,115.0,3298.7092,3200.0,87.42925,8,1
86,Classification-optimal,26,97.0,3142.6733,3072.0002,84.2757,8,1
87,Classification-optimal,27,96.0,3011.6575,2944.0002,81.05811,8,1
88,Classification-optimal,28,94.0,2855.2537,2816.0,77.88004,8,1
89,Classification-optimal,29,82.0,2737.7314,2688.0,74.67343,8,1
90,Classification-optimal,30,89.0,2611.524,2560.0,71.701454,8,1
91,Classification-optimal,31,75.0,2484.1191,2432.0,68.76089,8,1
92,Classification-optimal,32,73.0,2347.4377,2304.0002,65.94133,8,1
93,Classification-optimal,33,72.0,2211.1611,2176.0,63.09204,8,1
94,Classification-optimal,34,66.0,2071.7349,2048.0002,60.26829,8,1
95,Classification-optimal,35,62.0,1933.0005,1920.0,57.425922,8,1
96,Classification-optimal,36,45.0,1802.2865,1792.0,54.614395,8,1
97,Classification-optimal,37,36.0,1676.0404,1664.0001,51.885075,8,1
98,Classification-optimal,38,36.0,1557.9883,1536.0002,49.072247,8,1
99,Classification-optimal,39,37.0,1415.3584,1408.0004,46.117203,8,1
100,Classification-optimal,40,37.0,1258.1288,1280.0,43.377132,8,1
101,Classification-optimal,41,36.0,1121.1089,1152.0002,40.50319,8,1
102,Classification-optimal,42,23.0,991.8773,1024.0002,37.44926,8,1
103,Classification-optimal,43,22.0,874.70996,896.00024,34.4353,8,1
104,Classification-optimal,44,24.0,747.43695,768.0006,31.310892,8,1
105,Classification-optimal,45,16.0,645.515,640.001,27.905766,8,1
106,Classification-optimal,46,19.0,509.539,512.00104,24.252026,8,1
107,Classification-optimal,47,14.0,400.6148,384.00153,20.358728,8,1
108,Classification-optimal,48,15.0,283.2475,256.0016,15.826384,8,1
109,Classification-optimal,49,16.0,124.1595,127.85555,9.953708,8,1
