,Sampling Type,Sample Size,Signal idx,class_error,rec_error,Analytic Reconstruction Error,Analytic Classification Error
267,Random,3,77,17.5,710.8221,5.0,12.485843
268,Random,3,78,18.5,451.32385,5.0,12.485843
269,Random,3,79,17.0,319.18335,5.0,12.485843
270,Random,3,80,16.0,631.986,5.0,12.485843
271,Random,3,81,22.5,721.70123,5.0,12.485843
272,Random,3,82,22.5,1321.2498,5.0,12.485843
273,Random,3,83,21.5,2168.557,5.0,12.485843
274,Random,3,84,19.5,1373.1283,5.0,12.485843
275,Random,3,85,19.5,1266.4552,5.0,12.485843
276,Random,3,86,18.5,1096.6091,5.0,12.485843
277,Random,3,87,22.0,578.91797,5.0,12.485843
278,Random,3,88,15.5,453.57425,5.0,12.485843
279,Random,3,89,18.0,673.50964,5.0,12.485843
280,Random,3,90,17.5,342.62012,5.0,12.485843
281,Random,3,91,18.5,515.055,5.0,12.485843
282,Random,3,92,21.0,1363.6475,5.0,12.485843
283,Random,3,93,23.0,1105.5172,5.0,12.485843
284,Random,3,94,18.5,1021.82196,5.0,12.485843
285,Random,4,0,25.0,129.13986,3.9999998,10.452293
286,Random,4,1,13.0,66.2105,3.9999998,10.452293
287,Random,4,2,22.0,178.36003,3.9999998,10.452293
288,Random,4,3,21.5,209.2865,3.9999998,10.452293
289,Random,4,4,24.5,297.8584,3.9999998,10.452293
290,Random,4,5,16.0,174.9519,3.9999998,10.452293
291,Random,4,6,21.5,263.23438,3.9999998,10.452293
292,Random,4,7,22.5,687.4123,3.9999998,10.452293
293,Random,4,8,18.0,763.43896,3.9999998,10.452293
294,Random,4,9,17.5,153.80347,3.9999998,10.452293
295,Random,4,10,20.0,260.31726,3.9999998,10.452293
296,Random,4,11,18.5,210.614,3.9999998,10.452293
297,Random,4,12,18.5,343.14966,3.9999998,10.452293
298,Random,4,13,21.5,521.4392,3.9999998,10.452293
299,Random,4,14,22.5,295.09003,3.9999998,10.452293
300,Random,4,15,14.5,113.54787,3.9999998,10.452293
301,Random,4,16,25.5,168.47385,3.9999998,10.452293
302,Random,4,17,19.5,138.83488,3.9999998,10.452293
303,Random,4,18,18.5,174.65115,3.9999998,10.452293
304,Random,4,19,24.5,135.74107,3.9999998,10.452293
305,Random,4,20,19.5,230.00415,3.9999998,10.452293
306,Random,4,21,24.5,96.06828,3.9999998,10.452293
307,Random,4,22,11.5,70.1354,3.9999998,10.452293
308,Random,4,23,25.0,182.58994,3.9999998,10.452293
309,Random,4,24,23.5,650.72546,3.9999998,10.452293
310,Random,4,25,19.5,502.46722,3.9999998,10.452293
311,Random,4,26,23.5,676.10095,3.9999998,10.452293
312,Random,4,27,20.0,752.7651,3.9999998,10.452293
313,Random,4,28,19.5,1093.9373,3.9999998,10.452293
314,Random,4,29,19.5,841.5215,3.9999998,10.452293
315,Random,4,30,18.0,665.32623,3.9999998,10.452293
316,Random,4,31,15.5,229.15887,3.9999998,10.452293
317,Random,4,32,12.5,160.96942,3.9999998,10.452293
318,Random,4,33,16.5,1091.8601,3.9999998,10.452293
319,Random,4,34,24.5,657.20526,3.9999998,10.452293
320,Random,4,35,22.0,779.44727,3.9999998,10.452293
321,Random,4,36,25.5,697.30994,3.9999998,10.452293
322,Random,4,37,21.5,636.2388,3.9999998,10.452293
323,Random,4,38,24.5,249.89888,3.9999998,10.452293
324,Random,4,39,15.5,300.44055,3.9999998,10.452293
325,Random,4,40,19.0,596.8629,3.9999998,10.452293
326,Random,4,41,19.0,471.18762,3.9999998,10.452293
327,Random,4,42,19.0,235.6973,3.9999998,10.452293
328,Random,4,43,17.5,113.662476,3.9999998,10.452293
329,Random,4,44,17.0,71.92512,3.9999998,10.452293
330,Random,4,45,14.5,71.51811,3.9999998,10.452293
331,Random,4,46,20.5,82.74524,3.9999998,10.452293
332,Random,4,47,22.0,177.43436,3.9999998,10.452293
333,Random,4,48,23.5,430.80505,3.9999998,10.452293
334,Random,4,49,20.5,587.2351,3.9999998,10.452293
335,Random,4,50,21.5,903.94806,3.9999998,10.452293
336,Random,4,51,20.5,958.2527,3.9999998,10.452293
337,Random,4,52,17.5,331.436,3.9999998,10.452293
338,Random,4,53,17.5,516.07635,3.9999998,10.452293
339,Random,4,54,23.0,438.68958,3.9999998,10.452293
340,Random,4,55,23.5,332.60553,3.9999998,10.452293
341,Random,4,56,19.5,260.14447,3.9999998,10.452293
342,Random,4,57,19.0,210.4412,3.9999998,10.452293
343,Random,4,58,27.5,211.37498,3.9999998,10.452293
344,Random,4,59,21.0,167.8363,3.9999998,10.452293
345,Random,4,60,17.5,410.88104,3.9999998,10.452293
346,Random,4,61,18.0,389.44666,3.9999998,10.452293
347,Random,4,62,22.0,404.8191,3.9999998,10.452293
348,Random,4,63,20.0,456.36664,3.9999998,10.452293
349,Random,4,64,20.0,569.98334,3.9999998,10.452293
350,Random,4,65,24.0,170.64462,3.9999998,10.452293
351,Random,4,66,19.0,154.5094,3.9999998,10.452293
352,Random,4,67,24.0,145.91779,3.9999998,10.452293
353,Random,4,68,26.5,300.99814,3.9999998,10.452293
354,Random,4,69,27.0,430.1554,3.9999998,10.452293
355,Random,4,70,20.5,783.00525,3.9999998,10.452293
356,Random,4,71,29.0,651.26917,3.9999998,10.452293
357,Random,4,72,22.5,263.99884,3.9999998,10.452293
358,Random,4,73,21.5,284.6947,3.9999998,10.452293
359,Random,4,74,16.5,288.09875,3.9999998,10.452293
360,Random,4,75,17.0,494.2181,3.9999998,10.452293
361,Random,4,76,14.0,274.87598,3.9999998,10.452293
362,Random,4,77,16.5,710.0757,3.9999998,10.452293
363,Random,4,78,18.5,450.23993,3.9999998,10.452293
364,Random,4,79,18.0,321.2179,3.9999998,10.452293
365,Random,4,80,18.0,628.023,3.9999998,10.452293
366,Random,4,81,22.5,733.44794,3.9999998,10.452293
367,Random,4,82,23.5,1302.3586,3.9999998,10.452293
368,Random,4,83,21.5,2134.6045,3.9999998,10.452293
369,Random,4,84,18.5,1354.0992,3.9999998,10.452293
370,Random,4,85,19.5,1249.8695,3.9999998,10.452293
371,Random,4,86,18.5,1090.2372,3.9999998,10.452293
372,Random,4,87,23.0,574.353,3.9999998,10.452293
373,Random,4,88,16.5,454.87534,3.9999998,10.452293
374,Random,4,89,20.0,597.61743,3.9999998,10.452293
375,Random,4,90,21.5,356.16544,3.9999998,10.452293
376,Random,4,91,22.5,523.1742,3.9999998,10.452293
377,Random,4,92,20.0,1352.353,3.9999998,10.452293
378,Random,4,93,21.0,1109.123,3.9999998,10.452293
379,Random,4,94,19.5,1019.576,3.9999998,10.452293
380,Random,5,0,29.0,149.9078,3.0,7.587279
381,Random,5,1,14.0,68.83247,3.0,7.587279
382,Random,5,2,24.0,187.32172,3.0,7.587279
383,Random,5,3,20.5,215.6152,3.0,7.587279
384,Random,5,4,27.5,319.2163,3.0,7.587279
385,Random,5,5,17.0,182.01616,3.0,7.587279
386,Random,5,6,21.5,265.94135,3.0,7.587279
387,Random,5,7,23.5,722.2827,3.0,7.587279
388,Random,5,8,19.0,796.0637,3.0,7.587279
389,Random,5,9,18.5,156.17015,3.0,7.587279
390,Random,5,10,18.0,265.90186,3.0,7.587279
391,Random,5,11,19.5,224.26224,3.0,7.587279
392,Random,5,12,16.5,339.6756,3.0,7.587279
393,Random,5,13,22.5,521.2483,3.0,7.587279
394,Random,5,14,19.5,281.83603,3.0,7.587279
395,Random,5,15,13.5,117.36547,3.0,7.587279
396,Random,5,16,24.5,171.78055,3.0,7.587279
397,Random,5,17,16.5,139.28978,3.0,7.587279
398,Random,5,18,16.5,174.85751,3.0,7.587279
399,Random,5,19,21.5,141.44939,3.0,7.587279
400,Random,5,20,18.5,230.11993,3.0,7.587279
401,Random,5,21,25.5,96.32398,3.0,7.587279
402,Random,5,22,10.5,63.927124,3.0,7.587279
403,Random,5,23,25.0,187.83823,3.0,7.587279
404,Random,5,24,22.5,674.3222,3.0,7.587279
405,Random,5,25,21.5,545.3815,3.0,7.587279
406,Random,5,26,24.5,696.0796,3.0,7.587279
407,Random,5,27,18.0,762.99426,3.0,7.587279
408,Random,5,28,19.5,1124.4944,3.0,7.587279
409,Random,5,29,18.5,876.52264,3.0,7.587279
410,Random,5,30,19.0,695.98035,3.0,7.587279
411,Random,5,31,14.5,237.25623,3.0,7.587279
412,Random,5,32,13.5,162.56757,3.0,7.587279
413,Random,5,33,19.5,1118.6018,3.0,7.587279
414,Random,5,34,26.5,684.45325,3.0,7.587279
415,Random,5,35,24.0,804.2627,3.0,7.587279
416,Random,5,36,25.5,707.3848,3.0,7.587279
417,Random,5,37,22.5,649.5773,3.0,7.587279
418,Random,5,38,25.5,252.2279,3.0,7.587279
419,Random,5,39,19.5,308.88797,3.0,7.587279
420,Random,5,40,22.0,604.6045,3.0,7.587279
421,Random,5,41,20.0,481.32565,3.0,7.587279
422,Random,5,42,19.0,235.81676,3.0,7.587279
423,Random,5,43,17.5,112.881836,3.0,7.587279
424,Random,5,44,21.0,76.303444,3.0,7.587279
425,Random,5,45,18.5,76.01842,3.0,7.587279
426,Random,5,46,20.5,82.21927,3.0,7.587279
427,Random,5,47,26.0,185.58499,3.0,7.587279
428,Random,5,48,24.5,452.27332,3.0,7.587279
429,Random,5,49,21.5,612.15625,3.0,7.587279
430,Random,5,50,22.5,932.32336,3.0,7.587279
431,Random,5,51,20.5,1001.09454,3.0,7.587279
432,Random,5,52,17.5,342.72943,3.0,7.587279
433,Random,5,53,19.5,536.4588,3.0,7.587279
434,Random,5,54,25.0,453.28613,3.0,7.587279
435,Random,5,55,23.5,340.21246,3.0,7.587279
436,Random,5,56,22.5,266.9013,3.0,7.587279
437,Random,5,57,19.0,212.91425,3.0,7.587279
438,Random,5,58,25.5,213.73828,3.0,7.587279
439,Random,5,59,19.0,175.18524,3.0,7.587279
440,Random,5,60,15.5,412.92413,3.0,7.587279
441,Random,5,61,14.0,388.79755,3.0,7.587279
442,Random,5,62,23.0,405.89676,3.0,7.587279
443,Random,5,63,18.0,466.5014,3.0,7.587279
444,Random,5,64,17.0,580.9903,3.0,7.587279
445,Random,5,65,24.0,177.45592,3.0,7.587279
446,Random,5,66,19.0,155.8872,3.0,7.587279
447,Random,5,67,29.0,163.78212,3.0,7.587279
448,Random,5,68,27.5,331.81863,3.0,7.587279
449,Random,5,69,29.0,480.08923,3.0,7.587279
450,Random,5,70,19.5,811.6013,3.0,7.587279
451,Random,5,71,31.0,695.6527,3.0,7.587279
452,Random,5,72,24.5,290.1492,3.0,7.587279
453,Random,5,73,21.5,303.753,3.0,7.587279
454,Random,5,74,13.5,294.16693,3.0,7.587279
455,Random,5,75,18.0,491.12646,3.0,7.587279
456,Random,5,76,14.0,290.127,3.0,7.587279
457,Random,5,77,16.5,706.0319,3.0,7.587279
458,Random,5,78,15.5,452.0797,3.0,7.587279
459,Random,5,79,18.0,325.15314,3.0,7.587279
460,Random,5,80,15.0,627.05414,3.0,7.587279
461,Random,5,81,24.5,769.2704,3.0,7.587279
462,Random,5,82,19.5,1334.2262,3.0,7.587279
463,Random,5,83,18.5,2184.2124,3.0,7.587279
464,Random,5,84,16.5,1377.5908,3.0,7.587279
465,Random,5,85,17.5,1267.1633,3.0,7.587279
466,Random,5,86,19.5,1105.4937,3.0,7.587279
467,Random,5,87,22.0,591.5545,3.0,7.587279
468,Random,5,88,16.5,456.99823,3.0,7.587279
469,Random,5,89,18.0,618.7881,3.0,7.587279
470,Random,5,90,20.5,375.24142,3.0,7.587279
471,Random,5,91,16.5,530.1141,3.0,7.587279
472,Random,5,92,18.0,1388.0942,3.0,7.587279
473,Random,5,93,23.0,1166.8796,3.0,7.587279
474,Random,5,94,21.5,1044.8762,3.0,7.587279
475,Random,6,0,17.0,312360.06,2.0001132,5.281861
476,Random,6,1,13.0,45246.332,2.0001132,5.281861
477,Random,6,2,20.0,254831.12,2.0001132,5.281861
478,Random,6,3,22.5,405437.78,2.0001132,5.281861
479,Random,6,4,20.5,837873.9,2.0001132,5.281861
480,Random,6,5,18.0,390671.88,2.0001132,5.281861
481,Random,6,6,18.5,622801.6,2.0001132,5.281861
482,Random,6,7,18.5,2379877.8,2.0001132,5.281861
483,Random,6,8,22.0,2244156.5,2.0001132,5.281861
484,Random,6,9,20.5,196015.48,2.0001132,5.281861
485,Random,6,10,21.0,537388.3,2.0001132,5.281861
486,Random,6,11,20.5,320874.0,2.0001132,5.281861
487,Random,6,12,15.5,520097.2,2.0001132,5.281861
488,Random,6,13,20.5,1166227.0,2.0001132,5.281861
489,Random,6,14,20.5,425867.28,2.0001132,5.281861
490,Random,6,15,13.5,11359.27,2.0001132,5.281861
491,Random,6,16,16.5,155110.75,2.0001132,5.281861
492,Random,6,17,16.5,2031.2556,2.0001132,5.281861
493,Random,6,18,17.5,19492.879,2.0001132,5.281861
494,Random,6,19,19.5,9520.961,2.0001132,5.281861
495,Random,6,20,16.5,97155.734,2.0001132,5.281861
496,Random,6,21,19.5,36328.63,2.0001132,5.281861
497,Random,6,22,22.5,4049.398,2.0001132,5.281861
498,Random,6,23,19.0,287340.28,2.0001132,5.281861
