index,Sampling Criterion,Sample Size,τ,graph_id
5,Conf. Ellips.,6,0.13585944802153377,2
6,Conf. Ellips.,7,0.13610797314600573,2
7,Conf. Ellips.,8,0.13813300745829551,2
8,Conf. Ellips.,9,0.13816012524483198,2
9,Conf. Ellips.,10,0.14045861399754658,2
10,Conf. Ellips.,11,0.14148066262993045,2
11,Conf. Ellips.,12,0.14262021414092738,2
12,Conf. Ellips.,13,0.1436974520667139,2
13,Conf. Ellips.,14,0.14697062375943445,2
14,Conf. Ellips.,15,0.1613279787166146,2
15,Conf. Ellips.,16,0.17698940507352143,2
16,Conf. Ellips.,17,0.17416031243257668,2
17,Conf. Ellips.,18,0.18276855377898968,2
18,Conf. Ellips.,19,0.19272017472534378,2
19,Conf. Ellips.,20,0.19117199475103808,2
20,Conf. Ellips.,21,0.19669808939730193,2
21,Conf. Ellips.,22,0.2002213721047667,2
22,Conf. Ellips.,23,0.22123021853322555,2
23,Conf. Ellips.,24,0.22072571454949283,2
24,Conf. Ellips.,25,0.22931845820658764,2
25,Conf. Ellips.,26,0.22361514330171986,2
26,Conf. Ellips.,27,0.247012928936671,2
27,Conf. Ellips.,28,0.25644554616313475,2
28,Conf. Ellips.,29,0.2633318694476366,2
29,Conf. Ellips.,30,0.3162952591120273,2
30,Conf. Ellips.,31,0.30481294135429166,2
31,Conf. Ellips.,32,0.3253702950699072,2
32,Conf. Ellips.,33,0.3219161927213371,2
33,Conf. Ellips.,34,0.37552364713299585,2
34,Conf. Ellips.,35,0.4268889139773222,2
35,Conf. Ellips.,36,0.37952398861134923,2
36,Conf. Ellips.,37,0.43565414048819806,2
37,Conf. Ellips.,38,0.44217019895409065,2
38,Conf. Ellips.,39,0.4353538834935975,2
39,Conf. Ellips.,40,0.45080445490352616,2
40,Conf. Ellips.,41,0.7301373756951677,2
41,Conf. Ellips.,42,0.6042656416885848,2
42,Conf. Ellips.,43,1.3021421445125767,2
43,Conf. Ellips.,44,1.0975792089896372,2
44,Conf. Ellips.,45,1.7625284363188995,2
45,Conf. Ellips.,46,1.6765757851798242,2
46,Conf. Ellips.,47,1.540777076166512,2
47,Conf. Ellips.,48,1.9916510832139807,2
48,Conf. Ellips.,49,6.42624903096023,2
49,Conf. Ellips.,50,8.433397911104544,2
50,Conf. Ellips.,51,-10.613921995584674,2
51,Conf. Ellips.,52,-2.1538144004202424,2
52,Conf. Ellips.,53,-1.316612694904231,2
53,Conf. Ellips.,54,-1.3199884191569569,2
54,Conf. Ellips.,55,-1.0551226183694298,2
55,Conf. Ellips.,56,-0.7819288766384176,2
56,Conf. Ellips.,57,-1.2584914964527203,2
