Graph,Sampling Criterion,μ,Sample Size,log MSE,log MSE bound
0,Uniform Random,0.0001,34,-10.099976,4.1654779925893255
0,Uniform Random,0.0001,35,-10.150161,4.175132444668677
0,Uniform Random,0.0001,36,-10.526151,4.185011765088338
0,Uniform Random,0.0001,37,-10.616631,4.1950829802118355
0,Uniform Random,0.0001,38,-10.791115,4.205316837606633
0,Uniform Random,0.0001,39,-10.847666,4.215687330219224
0,Uniform Random,0.0001,40,-11.227032,4.226171352483969
0,Uniform Random,0.0001,41,-11.350326,4.2367483119844005
0,Uniform Random,0.0001,42,-11.604176,4.24739992278972
0,Uniform Random,0.0001,43,-11.754349,4.258109835109234
0,Uniform Random,0.0001,44,-12.409043,4.268863479289035
0,Uniform Random,0.0001,45,-20.93969,4.279647897215819
0,Uniform Random,0.01,1,-2.2213676,6.1186868243838255
0,Uniform Random,0.01,2,-2.871025,5.485008306115363
0,Uniform Random,0.01,3,-3.884548,5.129539083088365
0,Uniform Random,0.01,4,-3.8631735,4.889206583600273
0,Uniform Random,0.01,5,-4.5001884,4.714486374345618
0,Uniform Random,0.01,6,-4.486082,4.581654941482811
0,Uniform Random,0.01,7,-5.0556445,4.477910377896217
0,Uniform Random,0.01,8,-5.146822,4.395453810916478
0,Uniform Random,0.01,9,-5.1563215,4.329196035358266
0,Uniform Random,0.01,10,-6.0619545,4.275620069530404
0,Uniform Random,0.01,11,-6.119297,4.232187900536923
0,Uniform Random,0.01,12,-6.1974287,4.197005351802112
0,Uniform Random,0.01,13,-6.2620373,4.168620485309964
0,Uniform Random,0.01,14,-6.2666225,4.145896266530034
0,Uniform Random,0.01,15,-6.282504,4.127926552970355
0,Uniform Random,0.01,16,-6.306437,4.113978588162381
0,Uniform Random,0.01,17,-6.374326,4.103452808670709
0,Uniform Random,0.01,18,-6.6069665,4.095853435560788
0,Uniform Random,0.01,19,-6.627081,4.090766911156284
0,Uniform Random,0.01,20,-6.6692743,4.087845746435722
0,Uniform Random,0.01,21,-7.7272973,4.086796016290055
0,Uniform Random,0.01,22,-7.9186316,4.0873676980825655
0,Uniform Random,0.01,23,-8.074523,4.089346986449379
0,Uniform Random,0.01,24,-8.10264,4.09255024127975
0,Uniform Random,0.01,25,-8.177141,4.096819117732434
0,Uniform Random,0.01,26,-8.1988945,4.102016595329956
0,Uniform Random,0.01,27,-8.241489,4.108023615774391
0,Uniform Random,0.01,28,-8.244246,4.11473659387946
0,Uniform Random,0.01,29,-8.393888,4.122064944917152
0,Uniform Random,0.01,30,-9.253381,4.129929513389915
0,Uniform Random,0.01,31,-9.605336,4.13826065555788
0,Uniform Random,0.01,32,-9.648801,4.146997331152573
0,Uniform Random,0.01,33,-9.819377,4.156085623018464
0,Uniform Random,0.01,34,-9.905611,4.1654779925893255
0,Uniform Random,0.01,35,-9.973685,4.175132444668677
0,Uniform Random,0.01,36,-10.028132,4.185011765088338
0,Uniform Random,0.01,37,-10.113333,4.1950829802118355
0,Uniform Random,0.01,38,-10.191501,4.205316837606633
0,Uniform Random,0.01,39,-10.2178755,4.215687330219224
0,Uniform Random,0.01,40,-10.275597,4.226171352483969
0,Uniform Random,0.01,41,-10.6618185,4.2367483119844005
0,Uniform Random,0.01,42,-10.734055,4.24739992278972
0,Uniform Random,0.01,43,-11.544116,4.258109835109234
0,Uniform Random,0.01,44,-11.778367,4.268863479289035
0,Uniform Random,0.01,45,-15.682425,4.279647897215819
0,Uniform Random,1.0,1,-1.1203545,6.1186868243838255
0,Uniform Random,1.0,2,-2.8191717,5.485008306115363
0,Uniform Random,1.0,3,-3.9771984,5.129539083088365
0,Uniform Random,1.0,4,-4.0288687,4.889206583600273
0,Uniform Random,1.0,5,-4.566196,4.714486374345618
0,Uniform Random,1.0,6,-4.6202126,4.581654941482811
0,Uniform Random,1.0,7,-4.6356916,4.477910377896217
0,Uniform Random,1.0,8,-4.637073,4.395453810916478
0,Uniform Random,1.0,9,-4.77999,4.329196035358266
0,Uniform Random,1.0,10,-4.7825756,4.275620069530404
0,Uniform Random,1.0,11,-5.1185093,4.232187900536923
0,Uniform Random,1.0,12,-5.1856155,4.197005351802112
0,Uniform Random,1.0,13,-5.2021675,4.168620485309964
0,Uniform Random,1.0,14,-5.2278256,4.145896266530034
0,Uniform Random,1.0,15,-5.253819,4.127926552970355
0,Uniform Random,1.0,16,-5.2703238,4.113978588162381
0,Uniform Random,1.0,17,-5.271788,4.103452808670709
0,Uniform Random,1.0,18,-5.4954333,4.095853435560788
0,Uniform Random,1.0,19,-5.6118164,4.090766911156284
0,Uniform Random,1.0,20,-5.695187,4.087845746435722
0,Uniform Random,1.0,21,-5.7294393,4.086796016290055
0,Uniform Random,1.0,22,-5.780278,4.0873676980825655
0,Uniform Random,1.0,23,-5.9535303,4.089346986449379
0,Uniform Random,1.0,24,-5.965444,4.09255024127975
0,Uniform Random,1.0,25,-5.9844046,4.096819117732434
0,Uniform Random,1.0,26,-5.994527,4.102016595329956
0,Uniform Random,1.0,27,-6.036466,4.108023615774391
0,Uniform Random,1.0,28,-6.056018,4.11473659387946
0,Uniform Random,1.0,29,-6.062163,4.122064944917152
0,Uniform Random,1.0,30,-6.13933,4.129929513389915
0,Uniform Random,1.0,31,-6.375362,4.13826065555788
0,Uniform Random,1.0,32,-6.3819585,4.146997331152573
0,Uniform Random,1.0,33,-6.5037684,4.156085623018464
